variant,gamma,fill_mode,quote_decisions,quoted_bid,quoted_ask,maker_fills,buy_fills,sell_fills,trade_price_fills,best_quote_fills,bid_cancels,ask_cancels,expired_orders,market_orders,market_order_lots,policy_market_orders,policy_market_order_lots,terminal_flatten_orders,terminal_flatten_lots,gross_pnl_hkd,all_in_fees_hkd,net_pnl_hkd,maker_turnover_hkd,market_turnover_hkd,feeable_turnover_hkd,exposure_duration_seconds,absolute_inventory_lot_seconds,squared_inventory_lot2_seconds,realized_inventory_penalty_hkd,test_days,maker_fills_per_day,mean_daily_net_pnl_hkd,daily_net_pnl_std_hkd,profitable_days,active_days,maker_fill_rate,quoted_side_share,max_abs_inventory_lots,time_mean_abs_inventory_lots,time_rms_inventory_lots,nonzero_inventory_time_share,day_close_max_drawdown_hkd,worst_intraday_drawdown_hkd,mean_full_horizon_impulse_state_share
gamma_0.0488281,0.048828125,through,99087,22458,21698,20795,10398,10397,17332,3463,12060,11301,23361,5,5,0,0,5,5,-43858.39101409912,36545.971180673376,-80404.36219477249,131892551.00954437,42363.00010681152,131934914.00965118,444309.145,172907.17,220222.0,10753.02734375,19,1094.4736842105262,-4231.808536566973,3863.7275001035764,0,19,0.47094392608026087,0.22281429450886595,3,0.38915960192536664,0.7040244226940765,0.3442448928211909,80404.36219477249,16045.143098704819,0.36278195488721804
gamma_0.0488281,0.048828125,touch,99087,23270,22818,32518,16258,16260,24657,7861,7012,6558,13570,2,2,0,0,2,2,4052.498863220215,57729.04451716404,-53676.545653943824,208387652.95005035,20450.0,208408102.95005035,444309.145,172979.952,213763.468,10437.6693359375,19,1711.4736842105262,-2825.08135020757,2614.8545865031742,0,19,0.7055632702655789,0.23256330295598818,4,0.3893234112928285,0.6936240088181169,0.3438124169152539,53676.545653943824,10066.869205793053,0.33500417710944025
gamma_0.0244141,0.0244140625,through,99087,21086,20543,19631,9817,9814,16584,3047,11269,10729,21998,5,5,1,1,4,4,-44677.400802612305,36329.3314205927,-81006.732223205,131113756.01243591,39065.00053405762,131152821.01296997,444309.145,264039.161,355855.61100000003,8687.881127929688,19,1033.2105263157894,-4263.5122222739465,4275.2497434811985,0,19,0.47157029955079394,0.21006287403998505,4,0.5942690218541417,0.894940748596367,0.5012862969543425,81006.732223205,18485.887956145318,0.212406015037594
gamma_0.0244141,0.0244140625,touch,99087,23006,22544,31913,15956,15957,24381,7532,7050,6587,13637,3,3,0,0,3,3,2526.4787673950195,58039.04075688082,-55512.5619894858,209497822.94902802,29400.0,209527222.94902802,444309.145,230045.752,304931.654,7444.620458984375,19,1679.6315789473683,-2921.7137889203054,2707.492269756052,0,19,0.7006147091108672,0.22984851695984337,5,0.5177605606114635,0.8284353620453012,0.4442703897080489,55512.5619894858,10493.38808235479,0.17481203007518795
gamma_0.012207,0.01220703125,through,99087,22307,21736,20830,10416,10414,17568,3262,11891,11322,23213,8,8,1,1,7,7,-47854.41619873047,38823.52002724611,-86677.93622597658,140105771.01097107,51341.000747680664,140157112.01171875,444309.145,296803.723,442058.847,5396.226159667969,19,1096.3157894736842,-4561.996643472451,4266.928964445638,0,19,0.4729468928093,0.22224408852826305,5,0.6680117353875307,0.9974644292812066,0.5310781235439122,86677.93622597659,19260.06789250091,0.11417432470064047
gamma_0.012207,0.01220703125,touch,99087,25038,24509,34820,17410,17410,26377,8443,7628,7099,14727,4,4,0,0,4,4,1357.4609756469727,61863.1301862105,-60505.66921056353,223297921.95034027,34677.99987792969,223332599.9502182,444309.145,269810.221,395993.691,4833.907360839844,19,1832.6315789473683,-3184.5089058191334,2739.5941171060495,0,19,0.7027670696510384,0.25001766124718683,5,0.607257860965252,0.9440641527915784,0.49542779273651905,60505.66921056353,10876.386554971386,0.0732386521860206
gamma_0.01,0.01,through,99087,22799,22147,21251,10627,10624,17936,3315,12172,11523,23695,7,7,1,1,6,6,-49524.42237854004,39246.92283859865,-88771.34521713869,141637547.01576233,48095.0008392334,141685642.01660156,444309.145,311535.707,472793.457,4727.93457,19,1118.4736842105262,-4672.176064059931,4399.507298154978,0,19,0.4728118186267966,0.22680069030246147,5,0.7011687931834039,1.0315566966331349,0.5486651394492454,88771.3452171387,19260.06789250091,0.09001670843776106
gamma_0.01,0.01,touch,99087,25113,24613,34923,17461,17462,26504,8419,7652,7151,14803,4,5,0,0,4,5,1369.456672668457,62027.32581165758,-60657.869138989125,223879835.94112396,45527.99987792969,223925363.9410019,444309.145,293441.476,442906.978,4429.06978,19,1838.0526315789473,-3192.519428367849,2694.153095081277,0,19,0.7023086514097253,0.2509209078890268,6,0.6604443759535942,0.9984208348879895,0.5260426251185985,60657.86913898913,11280.912908304672,0.04949874686716791
gamma_0.00610352,0.006103515625,through,99087,24196,23494,22517,11259,11258,18907,3610,12937,12236,25173,11,11,1,1,10,10,-53907.44270324707,40957.56043600519,-94865.00313925225,147785304.0097046,75925.00114440918,147861229.010849,444309.145,377384.528,615220.828,3755.0099365234373,19,1185.1052631578948,-4992.894902065908,4576.405504324555,0,19,0.472153491297966,0.2406471080969249,5,0.8493737575444232,1.1767193331221633,0.6307940791990675,94865.00313925227,19909.34131058044,0.038011695906432746
gamma_0.00610352,0.006103515625,touch,99087,25302,24730,35027,17513,17514,26808,8219,7789,7216,15005,4,5,0,0,4,5,88.46492767333984,63297.74504220375,-63209.28011453041,228466186.9539261,45527.99987792969,228511714.95380402,444309.145,357585.308,585137.104,3571.39345703125,19,1843.5263157894738,-3326.804216554232,2632.9181247795536,0,19,0.700091941157659,0.252465005500217,6,0.8048119468709113,1.1475885141105462,0.5990057688324195,63209.28011453041,10877.790003206685,0.01211361737677527
gamma_0,0.0,through,99087,26699,25792,24758,12386,12372,20698,4060,14313,13420,27733,28,52,13,28,15,24,-93547.46841430664,45592.410861560595,-139139.87927586722,164240674.0120697,352867.00439453125,164593541.01646423,444309.145,1635108.324,8677097.37,0.0,19,1303.0526315789473,-7323.151540835117,7262.301760681433,1,19,0.4716618086910137,0.2648732931666112,10,3.6801140431174333,4.419209691792925,0.8991926353440237,139139.87927586725,31816.15141866073,0.0
gamma_0,0.0,touch,99087,26658,26120,36819,18408,18411,28157,8662,8250,7709,15959,14,21,4,5,10,16,-30380.54847717285,66652.03859592788,-97032.58707310073,240449390.96183777,171687.0018005371,240621077.9636383,444309.145,1686368.09,9051329.924,0.0,19,1937.842105263158,-5106.978267005303,5040.492300625924,2,19,0.6976202205464398,0.26632151543593,10,3.7954836378621017,4.513501296828005,0.9093377630118326,97032.58707310076,22742.497015810444,0.0
